,count,hope_speech,non-hope_speech,neither,class,tweet
208,6,0,5,1,1,Eric Whitemore  WHY
209,3,0,3,0,1,They do care
210,3,0,3,0,1,Only 1 race
211,3,0,3,0,1,@NsP Wolf What?!
212,3,0,3,0,1,still going on
213,3,0,3,0,1,Come on Hannity
214,3,0,3,0,1,For those protesters
215,3,0,3,0,1,@Helen Hall what
216,3,0,3,0,1,M Levi wtf?
217,3,0,3,0,1,@Introverted Fran aggreed
218,3,0,1,2,2,SkillfullAirHeads thank you
219,3,0,3,0,1,Slavic lives matter
220,6,0,6,0,1,@John Steven what?
221,6,3,2,1,0,As a catholic
222,3,0,1,2,2,Thats so sweet!!!!
223,3,0,1,2,2,In the end
224,3,1,2,0,1,John Doe racist
225,3,0,3,0,1,Good for her!
226,3,0,3,0,1,Catherine was greater.
227,3,0,3,0,1,I will forget.
228,3,1,2,0,1,@Ed Jessup No
229,3,0,3,0,1,Religion poisons everything
230,3,0,3,0,1,3 years later
231,3,1,2,0,1,These videos are
232,3,0,3,0,1,As she aged
233,3,0,3,0,1,Yeah about time
234,3,0,3,0,1,@TIGER WHITE-LILLY Amen
235,3,0,3,0,1,that doesn't help
236,3,0,3,0,1,@Floris You pathetic
237,3,0,3,0,1,O know right
238,3,0,3,0,1,Black Lives Matter
239,3,0,3,0,1,No it's not
240,6,0,6,0,1,He the cause!!!!
241,3,0,3,0,1,Princess Lexus fact
242,3,0,1,2,2,Shes on pills
243,3,0,1,2,2,Around the world
244,3,0,3,0,1,She looks incredible.
245,3,0,1,2,2,Fair and just.
246,3,0,3,0,1,HOLD THE DOOR!
247,3,0,3,0,1,THIS IS ME
248,3,0,2,1,1,Black people -->
250,3,0,1,2,2,Your Life Matters
251,3,0,1,2,2,definitely meme worthy
252,3,0,3,0,1,white live matter!
253,3,0,3,0,1,@Robot Socks Hey
254,3,0,3,0,1,go home africa
255,3,1,2,0,1,I got chills
256,3,0,3,0,1,Wow all Democrats
257,3,0,3,0,1,@Dennis Ramey No
258,3,0,3,0,1,Revolutions eat themselves.
259,3,1,2,0,1,I think so
260,3,1,2,0,1,Fixate How? Lol
261,3,0,3,0,1,She is confused.
262,3,0,1,2,2,I already have
263,3,2,1,0,0,@chris steele whatabout!
264,3,0,2,1,1,I’m unknown Well
265,3,0,3,0,1,@JP Morgan agree
266,3,0,3,0,1,Deport the lot
267,3,0,2,1,1,All life's matters
268,3,1,2,0,1,Here’s ya asexual
269,3,0,3,0,1,She looks amazing!!!
270,3,0,3,0,1,Bbm add#11 please
271,3,0,3,0,1,Applaud the protesters
272,3,0,0,3,2,I'm sorry who-
273,3,0,3,0,1,Sheriff David Clarke
274,3,0,3,0,1,thats a lie..
275,3,0,3,0,1,I’m a Christian
276,3,0,3,0,1,whoring good stuff
277,3,0,0,3,2,@Alex Turner Exactly.
278,3,0,3,0,1,Real conversion therapy
279,3,0,3,0,1,@Chinskins Tron well
280,3,0,3,0,1,Condemn their mother!!!!
281,3,0,3,0,1,shellie browning huh?
283,3,0,3,0,1,@God thank you
284,3,0,3,0,1,She is GOD!
285,3,1,2,0,1,I know right
286,3,0,3,0,1,Meanwhile in Wisconsin
287,3,0,0,3,2,Great Big Story
288,3,0,3,0,1,Ofcourse she matters!!!!!!
289,3,1,2,0,1,Spayed pets matter
290,3,0,3,0,1,All Wendy's matter.
291,3,0,3,0,1,Love this guy!
292,3,0,3,0,1,....for a change.
293,4,1,3,0,1,No it won't
294,3,0,3,0,1,@Molly Rebekah also
295,4,0,4,0,1,How’s it feel
296,3,0,3,0,1,Your actually 9
297,3,1,2,0,1,@Des Marry me
298,4,0,4,0,1,@Troy White Anybody.
299,3,0,3,0,1,I'm literally crying
300,3,1,2,0,1,Jesus matters too
301,3,0,3,0,1,David = heavy
302,3,0,3,0,1,Zackary Shepard TRUTH!!!!!
304,3,0,3,0,1,Timothy Kimmel Yeah
305,6,0,6,0,1,Same tho ??
306,3,1,2,0,1,They get beaten
307,3,1,2,0,1,@jeremyross631 they don't
308,3,0,3,0,1,#NAME?
309,3,0,3,0,1,Gays wrong though
310,3,0,3,0,1,Nice braid TJ.
311,4,0,3,1,1,@Nataliah Griffin true.
312,3,0,3,0,1,@TheOneNo20 Definitely are!
313,3,0,2,1,1,Tapeworm lives matter
314,3,0,3,0,1,In my opinion
315,3,0,3,0,1,Fear only God
316,3,0,3,0,1,Sour puss Also
317,3,2,1,0,0,this place is-
318,3,0,0,3,2,Jessica Doty Whitaker
319,3,0,3,0,1,Love that sheriff
320,3,2,1,0,0,It’s not racism
321,3,0,3,0,1,no it wasn't
322,3,1,2,0,1,Well isn’t it?
323,3,0,3,0,1,It's choice...um no?
324,3,0,3,0,1,Grow some balls
325,3,0,3,0,1,For anyone wondering
326,3,0,1,2,2,Love the officer
327,3,0,3,0,1,Whatever. Nobody care's.
328,3,0,1,2,2,Jack Parsons exactly
329,3,1,2,0,1,Tell her what?
330,3,0,3,0,1,White capitalist patriarchy
331,3,0,3,0,1,@pagan warrior them?
332,3,0,3,0,1,Every Life Matters
333,3,1,2,0,1,James Johnson ??
334,3,0,0,3,2,NO low-lives matter.
335,3,0,3,0,1,@Darth Tyranus lol
336,3,0,0,3,2,She looks tired
337,3,0,3,0,1,@Johnathan nostar  Proof
338,3,0,3,0,1,All lives matter=Mexican
339,3,0,3,0,1,@Stephen Jarrell how?
340,3,0,3,0,1,left wing extremists
341,3,0,0,3,2,Rent a thug
342,3,0,2,1,1,In all honesty
343,3,0,3,0,1,She's sooo lovely
344,3,0,3,0,1,By the way
345,3,0,3,0,1,....for a change.
346,3,0,0,3,2,Even im white
347,3,0,3,0,1,Guy butts suck
348,3,0,1,2,2,Solute that officer!
349,3,0,3,0,1,Who knows..? YoUn
350,4,0,4,0,1,Lucia Sykes Respectively
351,3,0,3,0,1,to be clear
352,3,0,3,0,1,Im in Ireland
353,4,0,3,1,1,This is unacceptable.
354,3,2,1,0,0,Nothing was binding
355,3,1,2,0,1,oh that's fucked.
356,3,0,0,3,2,It's a bute.
357,3,2,1,0,0,@kirollos halim comments.
358,3,0,3,0,1,such an inspiration!
359,3,0,3,0,1,BUILD THAT WALL!
360,3,0,3,0,1,..is this funny
361,3,0,0,3,2,That's just racism.
362,3,0,3,0,1,@Captain Random Well
363,3,0,3,0,1,All Lives Matter
364,3,1,2,0,1,Regard the star
365,3,0,3,0,1,No not really
366,3,0,3,0,1,In their minds
367,3,0,3,0,1,Literally me too
368,3,0,3,0,1,@Junberia KhornThank you
369,3,0,0,3,2,Churchill statue next
370,3,0,3,0,1,@Hudson Birt choice?-
371,3,0,3,0,1,ELM-Extterestrial Lives matter
372,3,0,3,0,1,Please protest safely
373,3,0,3,0,1,Hope for what?
374,3,1,2,0,1,yeah pretty sad
375,3,0,0,3,2,He built hospitals
376,3,0,3,0,1,In my opinion
377,4,0,0,4,2,Im from toronto
378,3,0,3,0,1,BLM is cancer
379,3,0,3,0,1,@Thomas F. Oh
380,3,0,3,0,1,Lol Fox news
381,3,0,3,0,1,Controlling the circumstance
382,3,0,3,0,1,Thanks for this
383,3,0,3,0,1,@Jimmy The Clown
384,3,1,0,2,2,Gacha Cat HeLLo
385,3,0,0,3,2,@Jason Barnes ?
386,3,0,3,0,1,Conversion therapy= brainwashing
387,6,1,5,0,1,Me too! Lol!!!
388,3,0,3,0,1,but honestly tho
389,3,0,0,3,2,That's just dumb.
390,3,0,3,0,1,Colors ice t
391,3,0,3,0,1,U actually crazy?
392,3,0,2,1,1,@Praesse Good advice
393,3,0,3,0,1,American Patriot! ????????
394,3,0,3,0,1,Goof for him
395,3,0,3,0,1,Great anology...Plantation Politics??
396,6,0,2,4,2,@Emily M simpleton!
397,3,0,3,0,1,Zara Hassan exactly
398,3,1,2,0,1,@C J Exactly
399,3,0,3,0,1,Wow.  The clueless
400,3,1,0,2,2,@Trump 2020 Exactly
401,3,0,2,1,1,Richard Littler how?
402,3,0,0,3,2,People don’tnGet what?
403,3,0,3,0,1,As she aged
404,3,0,3,0,1,@Stings2pee truth .
405,3,1,2,0,1,She's sooo lovely
406,3,0,3,0,1,Thank you.... Simply
407,3,0,3,0,1,Very inspiring! Thankyou!
408,3,0,3,0,1,@Top Fox Jules
409,3,0,3,0,1,What does WHITE
411,3,0,3,0,1,Bunch of fakers
412,3,0,3,0,1,Amen to that
413,3,0,3,0,1,Second wave coronavirus
414,3,0,3,0,1,I hate 2020
415,3,0,3,0,1,Staged and facilitated!
416,3,1,2,0,1,You're all wrong
417,3,0,3,0,1,Blake Eloise exactly
418,3,0,3,0,1,By this logic
419,3,0,2,1,1,Why wouldn't it?
420,3,0,0,3,2,religious or not
421,3,0,3,0,1,this is ridiculous
422,3,1,2,0,1,Jasper Nova congratulations!
423,3,0,3,0,1,where are you
424,6,2,4,0,1,people‘s lives matter
425,3,0,3,0,1,“Because of you
426,3,0,3,0,1,Yes plastic surgery
427,3,0,3,0,1,and al sharpton
428,3,0,2,1,1,Half added accent
429,3,0,3,0,1,I knew it
430,6,0,1,5,2,It’s really amazing
431,3,1,2,0,1,Its totally forgettable
432,3,0,3,0,1,As a Christian
433,3,0,3,0,1,bailey me to
434,3,0,0,3,2,She is GOD!
435,3,0,3,0,1,@Elliot Smith based
436,3,1,2,0,1,@Frank Kityaba Bullshit!
437,3,0,3,0,1,Total respect !
438,3,0,1,2,2,What about pansexuals-
439,3,0,3,0,1,she is incredible
440,6,0,5,1,1,who  is  this???
441,3,0,3,0,1,All lives( black
442,3,0,3,0,1,I'm really late
443,3,2,1,0,0,All life's matter....
444,3,0,3,0,1,God loves everyone
445,3,0,3,0,1,@Hughes Gi?ycko Nah
446,3,0,3,0,1,whatever you do
447,3,1,2,0,1,Do your best!
448,3,1,2,0,1,“Plantation Politics” Totally
449,3,0,2,1,1,this is youtube
450,3,0,3,0,1,Muslim feminist. Oxymoron?
451,3,0,3,0,1,@Lixxie me neither
452,3,0,3,0,1,My life matters
453,3,1,2,0,1,Fared Dolpane Exactly!
454,3,0,3,0,1,OML HECK YES!
455,3,0,0,3,2,Equality is impossible
456,3,0,3,0,1,Isn’t she trans...
457,3,1,2,0,1,If this continues
458,3,0,3,0,1,Race pandering matters
460,3,0,3,0,1,What is tanacon?
461,3,0,3,0,1,What's your point??!!
462,3,0,3,0,1,Trump isn't anti-Semitic
463,3,1,2,0,1,Regardeless of color
464,3,0,2,1,1,and a cop.
465,3,0,3,0,1,@GTC D'you think?
466,3,3,0,0,0,creating new hatred
467,3,0,3,0,1,Coming this summer
468,6,0,2,4,2,Send them back.
469,3,0,3,0,1,@John Karn Exactly!
470,3,0,3,0,1,LUKE COOPER exactly
471,3,0,3,0,1,awesome idea mam
473,3,1,2,0,1,Love this Sheriff
474,3,0,0,3,2,Black Lives Matter
475,3,0,3,0,1,ALL LIVES MATTER!nHey
476,3,0,3,0,1,@Trevor Wheatley bingo
477,3,0,3,0,1,BLM creates division
478,3,0,2,1,1,Giordano that’s bullshit..
479,3,0,3,0,1,Jack Parsons OMG
480,3,0,3,0,1,OK. Who's next?
481,3,0,1,2,2,She's 60... OMG
482,3,0,3,0,1,@Ed Jessup Yes
483,3,0,3,0,1,This is retarded
484,3,0,3,0,1,@Advocatus Diaboli yeah
485,3,0,3,0,1,VeryPoliticalHonkey Um ok?
486,3,0,3,0,1,Sunshine littlephilly Hello
487,3,0,3,0,1,For what ?
488,3,0,3,0,1,@Thomas Noah lol
489,3,0,3,0,1,Love is Love!
490,3,0,3,0,1,@No Name No
491,3,0,3,0,1,my thoughts exactly
492,3,0,3,0,1,@- UnbreakebleCow Yeah
493,6,0,6,0,1,DIVIDE & CONQUER
494,3,0,3,0,1,Lol... “plantation politics
495,3,0,3,0,1,What a wonderful
496,3,0,3,0,1,@The burger read
497,3,0,3,0,1,I love Asians!
498,3,0,3,0,1,She is cool!
499,3,0,3,0,1,Juan is lost
500,3,0,3,0,1,Chloe Winchester lol
501,3,0,3,0,1,You stand out
502,3,0,1,2,2,Whether you’re Black
503,3,1,2,0,1,?@Molly Cone First
504,3,1,2,0,1,Bleach lives matter.
505,3,0,3,0,1,Maybe she's bi
506,3,0,3,0,1,@yorocco1 your guessing
507,3,0,3,0,1,Black statue Matter
508,3,0,3,0,1,because they don't.
509,3,0,3,0,1,All Lives Matter
510,3,1,2,0,1,All humanity matters.
511,3,0,3,0,1,Juan “Cleveland Brown”
513,3,0,3,0,1,Me too ?
514,3,0,3,0,1,Because it's racist
515,3,1,2,0,1,democrats are crooks
516,3,1,2,0,1,@topgun032 THANK. YOU.
517,3,0,3,0,1,is this iraq???
518,3,1,0,2,2,Probably because people
519,3,0,3,0,1,John Lance what
520,3,1,2,0,1,50 Years before
521,3,0,3,0,1,@Sapphire Sword Lol
522,3,0,2,1,1,@THIS IS ME
523,3,1,2,0,1,@Horror Kid101 Also
524,3,0,0,3,2,She’s a girl
525,3,0,3,0,1,AKA conversion torture
526,3,0,1,2,2,South park fam
527,3,0,2,1,1,Sheriff the best
528,3,2,1,0,0,Sheriff David Clark
529,3,1,2,0,1,As a Christian
530,3,0,3,0,1,Pretty and smart
531,3,0,3,0,1,Thank you te
532,3,0,1,2,2,This is awesome!
533,3,0,3,0,1,I looove Crystal
534,3,0,1,2,2,All Lives Matter.
535,3,2,1,0,0,Haha your right
536,3,1,2,0,1,@abamarne06 _ Beating
537,3,0,2,1,1,Even white ones?
538,3,0,3,0,1,Holidays have political
539,3,0,3,0,1,@Isa Shes neither!
540,3,2,1,0,0,Juan's life matters
541,3,0,3,0,1,Millwakee Sawzalls Matter.
542,3,0,3,0,1,@Johnathan nostar no
543,3,0,3,0,1,@Micayla Wilson *she
544,3,0,3,0,1,Inspiration is good
545,3,0,3,0,1,Africa sucks bro.
546,3,0,0,3,2,Love her always
547,3,0,3,0,1,@teleshit official yep
548,3,0,1,2,2,She's 60... OMG
549,3,3,0,0,0,@bruh fam honestly
550,3,0,3,0,1,By their analogy
551,3,0,3,0,1,Whoring for votes'
552,3,0,3,0,1,In my school
553,3,1,2,0,1,in other news
554,3,0,3,0,1,Frickin hero man
555,3,0,2,1,1,My exact thoughts
556,3,0,3,0,1,she’s in denial
557,3,1,2,0,1,@American Patriot! Liberia
558,3,0,3,0,1,Natural Edits troll
559,3,0,3,0,1,Word for word
560,3,0,3,0,1,Shut Up. Biatch....
561,3,0,3,0,1,white wives matter...
562,3,1,2,0,1,This is BORING!
563,3,0,2,1,1,This isn't healthy
564,3,0,3,0,1,GOD IS MADONNA
565,3,1,2,0,1,As a Christian
566,3,0,3,0,1,@patrick Leafe Yes
567,3,0,3,0,1,Yes they do
568,3,0,3,0,1,choke the police
569,6,1,3,2,1,If your black
570,3,0,0,3,2,You are sheep
571,3,0,0,3,2,As an American
572,3,0,3,0,1,You're awesome TJ
573,3,0,3,0,1,@Kyle's iPhone EXACTLY
574,3,2,1,0,0,@Jeffrey Beaver Exactly!
575,4,0,4,0,1,Ink BlottedSoul oops
576,3,1,2,0,1,Ask candace owens
577,3,0,0,3,2,No closed captions?
578,3,0,3,0,1,thank you captain
579,3,0,3,0,1,@DoubleIrish DutchSandwich congratulations
580,3,0,0,3,2,@Catherine Rainville exactly
581,3,1,2,0,1,Innocent Lives Matter
582,3,0,3,0,1,Lol remember coronavirus
583,3,0,3,0,1,@B P  right!
584,3,0,0,3,2,If you noticed
585,3,1,2,0,1,@Aaron Stone True
586,3,0,2,1,1,HI from Russia
587,3,0,3,0,1,Me too bro
588,3,0,3,0,1,@John Steven how?
589,3,0,3,0,1,this was awesome.
590,3,0,3,0,1,im color blind
591,3,3,0,0,0,She's a charlatan!
592,3,2,1,0,0,Racism will continue
594,3,0,3,0,1,Starts at 1
595,3,0,3,0,1,@pepsi Atlas either
596,3,0,3,0,1,Tyrone Marcus Yes
597,3,2,1,0,0,Privilege child explanation
598,3,3,0,0,0,Just run then
599,4,1,3,0,1,EVITA 01 Both.
600,3,0,3,0,1,Police ARE HEROS
601,3,0,3,0,1,“I am religious
602,3,0,3,0,1,Heart warming speach
603,3,0,3,0,1,What a JOKE
604,3,0,2,1,1,I love it.
605,6,0,6,0,1,@Ed Jessup No
606,3,0,3,0,1,EVITA 01 Nope
607,3,0,0,3,2,Casey Heart Yay!
608,3,0,0,3,2,All Lives Matter
609,3,0,3,0,1,Mia Nic66 well
610,3,0,3,0,1,Atheism is Unstoppable
611,3,0,3,0,1,?@octomir Not really
612,3,0,2,1,1,@corinthia Long naah
613,3,2,1,0,0,He is right
614,3,0,3,0,1,Good for her!
615,3,1,2,0,1,This clip really
616,3,0,3,0,1,Holy shit Sheriff
617,3,0,3,0,1,@Justices Forall  hahaaa
618,3,0,2,1,1,Black Lives Matter
619,3,1,2,0,1,@deathmetal271 it has
620,3,0,3,0,1,Endless people asking
621,3,0,1,2,2,What an inspiration!
622,6,1,5,0,1,All Lives Matter
623,3,0,1,2,2,I hate it!
624,3,2,1,0,0,Don't do that
625,3,1,2,0,1,M Levi wtf?
626,3,0,3,0,1,This woman ??
627,3,0,3,0,1,Thats funny stuff
628,3,0,3,0,1,@Tyrone Marcus Ok
629,3,1,2,0,1,It istn about
630,3,0,2,1,1,@JustPerson uh why?
631,3,0,0,3,2,it's just clothing.
632,3,0,3,0,1,*Cuffs my sweater
633,3,0,3,0,1,@angeline nguyen whyy
634,3,0,3,0,1,That's a girl
635,3,2,1,0,0,She sounds flu-ish
636,3,0,3,0,1,FINALLY ...something positive!!
637,3,0,3,0,1,This commet matters!
638,3,0,3,0,1,Protestants are harsh
639,6,1,5,0,1,Very smart guys
640,3,0,3,0,1,Europe's black history
641,3,0,3,0,1,Nope. Try again.
642,6,0,6,0,1,I subscribed you
643,6,0,6,0,1,JUSTICE WILL PREVAIL
644,3,0,3,0,1,I’m the 1
645,3,2,1,0,0,Good luck racist
646,3,0,1,2,2,Religious? What religion?
647,6,0,6,0,1,Such a fake.
648,3,0,3,0,1,moonlight oh yes
649,3,0,3,0,1,@amanda she's filipino
650,3,0,3,0,1,@KehOfAllTrades KehOfAllTrades what?
651,3,0,3,0,1,What the hell?
652,3,1,2,0,1,She seems ok
653,3,0,3,0,1,well to BLM
654,3,0,3,0,1,@Alucard you right
655,3,0,3,0,1,@Mary Jane oh
656,3,2,1,0,0,@Nico Stone Exactly...
657,3,2,1,0,0,More like 'incomprehensibly-biased
658,3,0,3,0,1,She's an indivijul
659,3,0,3,0,1,@Excalibur_._ I know
660,3,0,3,0,1,Filthy Disgusting Lefti
661,3,1,2,0,1,7.62 needed here.
662,3,0,1,2,2,Amen Sheriff Clarke.
663,3,0,3,0,1,For centuries now
664,3,1,2,0,1,Today in class
665,3,0,2,1,1,Kiss my feet
666,3,0,3,0,1,Rioters Are animals
667,3,0,3,0,1,Imma quote that
668,6,0,6,0,1,@whatareyoutalkinabeet that's rich
669,3,0,3,0,1,@Sophia Salehi exactly!
670,3,0,0,3,2,Floyd was idiot!¡
671,3,0,3,0,1,@Matthew Matthew agreed
672,3,0,3,0,1,Too much botox
673,3,2,0,1,0,Jeff Davis yes
674,3,0,3,0,1,Racist Black people
675,3,0,3,0,1,#NAME?
676,3,0,3,0,1,Gay black wins
677,3,0,3,0,1,Homosexualality and stuff
678,3,0,0,3,2,@Fa1con nits okay
679,6,0,6,0,1,she may be...
680,3,0,1,2,2,J Randall preach!
681,3,0,3,0,1,Literally nothing’s changed
682,3,0,2,1,1,QueenCherry 12 exactly
683,3,0,3,0,1,@Dean Bray No
